state,election_year,county,registered_voters,ballots_cast,president_votes,source_url,source_member
GA,2012,Tift County,20195,13983,13927,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Tift_42415_112258-summary.zip
GA,2012,Toombs County,13050,9389,9344,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Toombs_42416_112255-summary.zip
GA,2012,Towns County,7743,6340,6211,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Towns_42417_112253-summary.zip
GA,2012,Treutlen County,3959,2764,2750,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Treutlen_42418_112252-summary.zip
GA,2012,Troup County,40524,26123,25986,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Troup_42419_112251-summary.zip
GA,2012,Turner County,4928,3585,3559,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Turner_42420_112250-summary.zip
GA,2012,Twiggs County,5873,4228,4202,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Twiggs_42421_112249-summary.zip
GA,2012,Union County,13071,11218,11076,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Union_42422_112247-summary.zip
GA,2012,Upson County,16807,11325,11263,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Upson_42423_112246-summary.zip
GA,2012,Walker County,40336,22112,21886,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Walker_42424_112423-summary.zip
GA,2012,Walton County,50008,37743,37597,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Walton_42425_112241-summary.zip
GA,2012,Ware County,16944,12005,11939,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Ware_42426_112239-summary.zip
GA,2012,Warren County,3632,2548,2526,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Warren_42427_112234-summary.zip
GA,2012,Washington County,11735,8867,8807,https://sos.ga.gov/sites/default/files/2026-04/november_6_2012_-_general_election.zip,2012 General Election/summary/Washington_42428_112232-summary.zip
