Office,Parish,Ward,Precinct,"Troy A. Carter, Sr. (DEM)","Devin Davis (DEM)","Devin Lance Graham (REP)","Christy Lynch (REP)","Shondrell Perrilloux (REP)"
"U. S. Representative -- 2nd Congressional District","Lafourche","05","03","129","14","57","41","7"
"U. S. Representative -- 2nd Congressional District","Lafourche","Early Voting","","1239","170","1141","880","127"
"U. S. Representative -- 2nd Congressional District","Lafourche","Provisional Votes","","2","0","0","0","0"
"U. S. Representative -- 2nd Congressional District","Orleans","01","01","161","68","17","23","11"
"U. S. Representative -- 2nd Congressional District","Orleans","01","02","84","35","11","16","2"
"U. S. Representative -- 2nd Congressional District","Orleans","01","05","131","40","16","26","2"
"U. S. Representative -- 2nd Congressional District","Orleans","01","06","155","33","4","4","1"
"U. S. Representative -- 2nd Congressional District","Orleans","02","01","134","51","32","38","7"
"U. S. Representative -- 2nd Congressional District","Orleans","02","02","102","19","15","15","5"
"U. S. Representative -- 2nd Congressional District","Orleans","02","04","281","22","3","0","1"
"U. S. Representative -- 2nd Congressional District","Orleans","02","06","147","12","1","3","2"
"U. S. Representative -- 2nd Congressional District","Orleans","02","07","222","56","5","3","0"
"U. S. Representative -- 2nd Congressional District","Orleans","03","01","308","79","76","69","11"
"U. S. Representative -- 2nd Congressional District","Orleans","03","08","264","66","11","6","5"
"U. S. Representative -- 2nd Congressional District","Orleans","03","09","102","67","8","3","6"
"U. S. Representative -- 2nd Congressional District","Orleans","03","12","237","153","13","10","1"
"U. S. Representative -- 2nd Congressional District","Orleans","03","14","73","54","8","5","4"
"U. S. Representative -- 2nd Congressional District","Orleans","03","15","85","48","3","1","2"
"U. S. Representative -- 2nd Congressional District","Orleans","03","18","193","98","14","8","2"
"U. S. Representative -- 2nd Congressional District","Orleans","03","19","143","97","21","24","5"
"U. S. Representative -- 2nd Congressional District","Orleans","03","20","88","53","16","13","0"
"U. S. Representative -- 2nd Congressional District","Orleans","04","02","224","55","20","22","7"
"U. S. Representative -- 2nd Congressional District","Orleans","04","03","133","49","9","7","1"
"U. S. Representative -- 2nd Congressional District","Orleans","04","06","154","72","20","15","3"
"U. S. Representative -- 2nd Congressional District","Orleans","05","01","53","15","2","5","1"
"U. S. Representative -- 2nd Congressional District","Orleans","05","02","43","21","10","8","3"
"U. S. Representative -- 2nd Congressional District","Orleans","05","03","108","43","6","15","1"
"U. S. Representative -- 2nd Congressional District","Orleans","05","05","88","36","4","1","2"
"U. S. Representative -- 2nd Congressional District","Orleans","05","07","149","58","1","3","2"
"U. S. Representative -- 2nd Congressional District","Orleans","05","08","101","51","4","0","0"
"U. S. Representative -- 2nd Congressional District","Orleans","05","09","70","56","4","4","2"
"U. S. Representative -- 2nd Congressional District","Orleans","05","10","94","54","3","5","1"
"U. S. Representative -- 2nd Congressional District","Orleans","05","11","68","41","2","5","0"
"U. S. Representative -- 2nd Congressional District","Orleans","06","01","61","42","6","13","4"
"U. S. Representative -- 2nd Congressional District","Orleans","06","02","117","43","12","34","3"
"U. S. Representative -- 2nd Congressional District","Orleans","06","04","74","43","3","3","1"
"U. S. Representative -- 2nd Congressional District","Orleans","06","06","164","102","5","4","1"
"U. S. Representative -- 2nd Congressional District","Orleans","06","07","102","63","1","1","1"
"U. S. Representative -- 2nd Congressional District","Orleans","06","08","115","51","12","5","1"
"U. S. Representative -- 2nd Congressional District","Orleans","07","01","137","71","14","10","4"
"U. S. Representative -- 2nd Congressional District","Orleans","07","02","87","48","8","3","2"
"U. S. Representative -- 2nd Congressional District","Orleans","07","04","84","46","5","2","0"
"U. S. Representative -- 2nd Congressional District","Orleans","07","05","110","68","2","5","2"
"U. S. Representative -- 2nd Congressional District","Orleans","07","06","68","37","1","6","1"
"U. S. Representative -- 2nd Congressional District","Orleans","07","07","146","40","5","0","2"
"U. S. Representative -- 2nd Congressional District","Orleans","07","08","167","32","7","1","3"
"U. S. Representative -- 2nd Congressional District","Orleans","07","09A","70","14","2","0","2"
"U. S. Representative -- 2nd Congressional District","Orleans","07","10","88","19","1","1","1"
"U. S. Representative -- 2nd Congressional District","Orleans","07","11","155","74","5","3","0"
"U. S. Representative -- 2nd Congressional District","Orleans","07","12","126","71","5","6","2"
"U. S. Representative -- 2nd Congressional District","Orleans","07","13","125","56","4","4","1"
"U. S. Representative -- 2nd Congressional District","Orleans","07","14","109","49","1","4","0"
"U. S. Representative -- 2nd Congressional District","Orleans","07","15","102","71","3","2","1"
"U. S. Representative -- 2nd Congressional District","Orleans","07","16","132","60","0","1","1"
"U. S. Representative -- 2nd Congressional District","Orleans","07","17","82","66","8","8","3"
"U. S. Representative -- 2nd Congressional District","Orleans","07","18","206","55","12","20","5"
"U. S. Representative -- 2nd Congressional District","Orleans","07","19","162","40","8","6","4"
"U. S. Representative -- 2nd Congressional District","Orleans","07","20","240","50","1","2","2"
"U. S. Representative -- 2nd Congressional District","Orleans","07","21","163","38","8","2","1"
"U. S. Representative -- 2nd Congressional District","Orleans","07","23","263","47","2","6","2"
"U. S. Representative -- 2nd Congressional District","Orleans","07","24","82","22","1","7","2"
"U. S. Representative -- 2nd Congressional District","Orleans","07","25","164","51","3","0","2"
"U. S. Representative -- 2nd Congressional District","Orleans","07","25A","119","32","1","0","2"
"U. S. Representative -- 2nd Congressional District","Orleans","07","26","203","24","4","4","2"
"U. S. Representative -- 2nd Congressional District","Orleans","07","27","121","15","0","0","0"
"U. S. Representative -- 2nd Congressional District","Orleans","07","27B","128","22","1","4","2"
"U. S. Representative -- 2nd Congressional District","Orleans","07","28","176","23","4","4","3"
"U. S. Representative -- 2nd Congressional District","Orleans","07","28A","168","24","3","4","1"
"U. S. Representative -- 2nd Congressional District","Orleans","07","29","121","23","3","4","1"
"U. S. Representative -- 2nd Congressional District","Orleans","07","30","177","33","12","9","2"
"U. S. Representative -- 2nd Congressional District","Orleans","07","32","92","17","18","13","1"
"U. S. Representative -- 2nd Congressional District","Orleans","07","33","134","27","7","13","2"
"U. S. Representative -- 2nd Congressional District","Orleans","07","35","255","57","8","6","1"
"U. S. Representative -- 2nd Congressional District","Orleans","07","37","207","45","7","9","4"
"U. S. Representative -- 2nd Congressional District","Orleans","07","37A","123","42","10","9","4"
"U. S. Representative -- 2nd Congressional District","Orleans","07","40","238","58","29","31","3"
"U. S. Representative -- 2nd Congressional District","Orleans","08","01","112","58","7","9","3"
"U. S. Representative -- 2nd Congressional District","Orleans","08","02","122","93","11","6","0"
"U. S. Representative -- 2nd Congressional District","Orleans","08","04","86","36","2","3","2"
"U. S. Representative -- 2nd Congressional District","Orleans","08","06","155","97","6","4","1"
"U. S. Representative -- 2nd Congressional District","Orleans","08","07","112","52","3","2","1"
"U. S. Representative -- 2nd Congressional District","Orleans","08","08","126","59","9","0","2"
"U. S. Representative -- 2nd Congressional District","Orleans","08","09","186","68","6","5","2"
"U. S. Representative -- 2nd Congressional District","Orleans","08","12","251","85","9","3","2"
"U. S. Representative -- 2nd Congressional District","Orleans","08","13","112","13","0","2","1"
"U. S. Representative -- 2nd Congressional District","Orleans","08","14","121","28","6","0","0"
