"Jurisdiction","Precinct","Race","Candidate","Votes"
"Washoe","SPARKS 6300","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","12"
"Washoe","SPARKS 6300","President and Vice President of the United States","Skousen, Joel and Combs, Rik","6"
"Washoe","SPARKS 6300","President and Vice President of the United States","Trump, Donald J. and Vance, JD","838"
"Washoe","SPARKS 6301","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","0"
"Washoe","SPARKS 6301","President and Vice President of the United States","None Of These Candidates","0"
"Washoe","SPARKS 6301","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","0"
"Washoe","SPARKS 6301","President and Vice President of the United States","Skousen, Joel and Combs, Rik","0"
"Washoe","SPARKS 6301","President and Vice President of the United States","Trump, Donald J. and Vance, JD","0"
"Washoe","SPARKS 6306","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","572"
"Washoe","SPARKS 6306","President and Vice President of the United States","None Of These Candidates","20"
"Washoe","SPARKS 6306","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","9"
"Washoe","SPARKS 6306","President and Vice President of the United States","Skousen, Joel and Combs, Rik","4"
"Washoe","SPARKS 6306","President and Vice President of the United States","Trump, Donald J. and Vance, JD","447"
"Washoe","SPARKS 6307","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","1122"
"Washoe","SPARKS 6307","President and Vice President of the United States","None Of These Candidates","36"
"Washoe","SPARKS 6307","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","15"
"Washoe","SPARKS 6307","President and Vice President of the United States","Skousen, Joel and Combs, Rik","3"
"Washoe","SPARKS 6307","President and Vice President of the United States","Trump, Donald J. and Vance, JD","912"
"Washoe","SPARKS 6308","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","1112"
"Washoe","SPARKS 6308","President and Vice President of the United States","None Of These Candidates","36"
"Washoe","SPARKS 6308","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","4"
"Washoe","SPARKS 6308","President and Vice President of the United States","Skousen, Joel and Combs, Rik","0"
"Washoe","SPARKS 6308","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1120"
"Washoe","SPARKS 6310","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","569"
"Washoe","SPARKS 6310","President and Vice President of the United States","None Of These Candidates","15"
"Washoe","SPARKS 6310","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","6"
"Washoe","SPARKS 6310","President and Vice President of the United States","Skousen, Joel and Combs, Rik","4"
"Washoe","SPARKS 6310","President and Vice President of the United States","Trump, Donald J. and Vance, JD","608"
"Washoe","SPARKS 6317","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","0"
"Washoe","SPARKS 6317","President and Vice President of the United States","None Of These Candidates","0"
"Washoe","SPARKS 6317","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","0"
"Washoe","SPARKS 6317","President and Vice President of the United States","Skousen, Joel and Combs, Rik","0"
"Washoe","SPARKS 6317","President and Vice President of the United States","Trump, Donald J. and Vance, JD","0"
"Washoe","SPARKS 6320","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","1328"
"Washoe","SPARKS 6320","President and Vice President of the United States","None Of These Candidates","41"
"Washoe","SPARKS 6320","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","16"
"Washoe","SPARKS 6320","President and Vice President of the United States","Skousen, Joel and Combs, Rik","7"
"Washoe","SPARKS 6320","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1485"
"Washoe","SPARKS 6401","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","*"
"Washoe","SPARKS 6401","President and Vice President of the United States","None Of These Candidates","*"
"Washoe","SPARKS 6401","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","*"
"Washoe","SPARKS 6401","President and Vice President of the United States","Skousen, Joel and Combs, Rik","*"
"Washoe","SPARKS 6401","President and Vice President of the United States","Trump, Donald J. and Vance, JD","*"
"Washoe","SPARKS 6402","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","0"
"Washoe","SPARKS 6402","President and Vice President of the United States","None Of These Candidates","0"
"Washoe","SPARKS 6402","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","0"
"Washoe","SPARKS 6402","President and Vice President of the United States","Skousen, Joel and Combs, Rik","0"
"Washoe","SPARKS 6402","President and Vice President of the United States","Trump, Donald J. and Vance, JD","0"
"Washoe","SPARKS 6403","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","933"
"Washoe","SPARKS 6403","President and Vice President of the United States","None Of These Candidates","33"
"Washoe","SPARKS 6403","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","7"
"Washoe","SPARKS 6403","President and Vice President of the United States","Skousen, Joel and Combs, Rik","2"
"Washoe","SPARKS 6403","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1134"
"Washoe","SPARKS 6411","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","704"
"Washoe","SPARKS 6411","President and Vice President of the United States","None Of These Candidates","33"
"Washoe","SPARKS 6411","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","4"
"Washoe","SPARKS 6411","President and Vice President of the United States","Skousen, Joel and Combs, Rik","0"
"Washoe","SPARKS 6411","President and Vice President of the United States","Trump, Donald J. and Vance, JD","922"
"Washoe","SPARKS 6413","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","1196"
"Washoe","SPARKS 6413","President and Vice President of the United States","None Of These Candidates","43"
"Washoe","SPARKS 6413","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","17"
"Washoe","SPARKS 6413","President and Vice President of the United States","Skousen, Joel and Combs, Rik","4"
"Washoe","SPARKS 6413","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1711"
"Washoe","SPARKS 6416","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","642"
"Washoe","SPARKS 6416","President and Vice President of the United States","None Of These Candidates","35"
"Washoe","SPARKS 6416","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","3"
"Washoe","SPARKS 6416","President and Vice President of the United States","Skousen, Joel and Combs, Rik","3"
"Washoe","SPARKS 6416","President and Vice President of the United States","Trump, Donald J. and Vance, JD","887"
"Washoe","SPARKS 6418","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","604"
"Washoe","SPARKS 6418","President and Vice President of the United States","None Of These Candidates","22"
"Washoe","SPARKS 6418","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","9"
"Washoe","SPARKS 6418","President and Vice President of the United States","Skousen, Joel and Combs, Rik","4"
"Washoe","SPARKS 6418","President and Vice President of the United States","Trump, Donald J. and Vance, JD","938"
"Washoe","SPARKS 6422","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","538"
"Washoe","SPARKS 6422","President and Vice President of the United States","None Of These Candidates","27"
"Washoe","SPARKS 6422","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","4"
"Washoe","SPARKS 6422","President and Vice President of the United States","Skousen, Joel and Combs, Rik","4"
"Washoe","SPARKS 6422","President and Vice President of the United States","Trump, Donald J. and Vance, JD","783"
"Washoe","SPARKS 6423","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","768"
"Washoe","SPARKS 6423","President and Vice President of the United States","None Of These Candidates","38"
"Washoe","SPARKS 6423","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","8"
"Washoe","SPARKS 6423","President and Vice President of the United States","Skousen, Joel and Combs, Rik","5"
"Washoe","SPARKS 6423","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1260"
"Washoe","SPARKS 6425","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","811"
"Washoe","SPARKS 6425","President and Vice President of the United States","None Of These Candidates","47"
"Washoe","SPARKS 6425","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","10"
"Washoe","SPARKS 6425","President and Vice President of the United States","Skousen, Joel and Combs, Rik","3"
"Washoe","SPARKS 6425","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1150"
"Washoe","SPARKS 6500","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","684"
"Washoe","SPARKS 6500","President and Vice President of the United States","None Of These Candidates","24"
"Washoe","SPARKS 6500","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","4"
"Washoe","SPARKS 6500","President and Vice President of the United States","Skousen, Joel and Combs, Rik","4"
"Washoe","SPARKS 6500","President and Vice President of the United States","Trump, Donald J. and Vance, JD","689"
"Washoe","SPARKS 6501","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","622"
"Washoe","SPARKS 6501","President and Vice President of the United States","None Of These Candidates","19"
"Washoe","SPARKS 6501","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","1"
"Washoe","SPARKS 6501","President and Vice President of the United States","Skousen, Joel and Combs, Rik","1"
"Washoe","SPARKS 6501","President and Vice President of the United States","Trump, Donald J. and Vance, JD","577"
"Washoe","SPARKS 6503","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","*"
"Washoe","SPARKS 6503","President and Vice President of the United States","None Of These Candidates","*"
"Washoe","SPARKS 6503","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","*"
"Washoe","SPARKS 6503","President and Vice President of the United States","Skousen, Joel and Combs, Rik","*"
"Washoe","SPARKS 6503","President and Vice President of the United States","Trump, Donald J. and Vance, JD","*"
"Washoe","SPARKS 6508","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","433"
"Washoe","SPARKS 6508","President and Vice President of the United States","None Of These Candidates","17"
"Washoe","SPARKS 6508","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","6"
"Washoe","SPARKS 6508","President and Vice President of the United States","Skousen, Joel and Combs, Rik","3"
"Washoe","SPARKS 6508","President and Vice President of the United States","Trump, Donald J. and Vance, JD","467"
"Washoe","SPARKS 6514","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","920"
"Washoe","SPARKS 6514","President and Vice President of the United States","None Of These Candidates","28"
"Washoe","SPARKS 6514","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","17"
"Washoe","SPARKS 6514","President and Vice President of the United States","Skousen, Joel and Combs, Rik","12"
"Washoe","SPARKS 6514","President and Vice President of the United States","Trump, Donald J. and Vance, JD","740"
"Washoe","SPARKS 6516","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","728"
"Washoe","SPARKS 6516","President and Vice President of the United States","None Of These Candidates","15"
"Washoe","SPARKS 6516","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","6"
"Washoe","SPARKS 6516","President and Vice President of the United States","Skousen, Joel and Combs, Rik","3"
"Washoe","SPARKS 6516","President and Vice President of the United States","Trump, Donald J. and Vance, JD","801"
"Washoe","SPARKS 6520","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","542"
"Washoe","SPARKS 6520","President and Vice President of the United States","None Of These Candidates","15"
"Washoe","SPARKS 6520","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","7"
"Washoe","SPARKS 6520","President and Vice President of the United States","Skousen, Joel and Combs, Rik","2"
"Washoe","SPARKS 6520","President and Vice President of the United States","Trump, Donald J. and Vance, JD","499"
"Washoe","SPARKS 6522","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","703"
"Washoe","SPARKS 6522","President and Vice President of the United States","None Of These Candidates","27"
"Washoe","SPARKS 6522","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","4"
"Washoe","SPARKS 6522","President and Vice President of the United States","Skousen, Joel and Combs, Rik","4"
"Washoe","SPARKS 6522","President and Vice President of the United States","Trump, Donald J. and Vance, JD","754"
"Washoe","SPARKS 6523","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","587"
"Washoe","SPARKS 6523","President and Vice President of the United States","None Of These Candidates","14"
"Washoe","SPARKS 6523","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","5"
"Washoe","SPARKS 6523","President and Vice President of the United States","Skousen, Joel and Combs, Rik","4"
"Washoe","SPARKS 6523","President and Vice President of the United States","Trump, Donald J. and Vance, JD","622"
"Washoe","SPARKS 6524","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","1123"
"Washoe","SPARKS 6524","President and Vice President of the United States","None Of These Candidates","27"
"Washoe","SPARKS 6524","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","18"
"Washoe","SPARKS 6524","President and Vice President of the United States","Skousen, Joel and Combs, Rik","6"
"Washoe","SPARKS 6524","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1339"
"Washoe","SPARKS 6527","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","*"
"Washoe","SPARKS 6527","President and Vice President of the United States","None Of These Candidates","*"
"Washoe","SPARKS 6527","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","*"
"Washoe","SPARKS 6527","President and Vice President of the United States","Skousen, Joel and Combs, Rik","*"
"Washoe","SPARKS 6527","President and Vice President of the United States","Trump, Donald J. and Vance, JD","*"
"Washoe","SPARKS 6528","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","0"
"Washoe","SPARKS 6528","President and Vice President of the United States","None Of These Candidates","0"
"Washoe","SPARKS 6528","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","0"
"Washoe","SPARKS 6528","President and Vice President of the United States","Skousen, Joel and Combs, Rik","0"
"Washoe","SPARKS 6528","President and Vice President of the United States","Trump, Donald J. and Vance, JD","0"
"Washoe","SPARKS 6529","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","0"
"Washoe","SPARKS 6529","President and Vice President of the United States","None Of These Candidates","0"
"Washoe","SPARKS 6529","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","0"
"Washoe","SPARKS 6529","President and Vice President of the United States","Skousen, Joel and Combs, Rik","0"
"Washoe","SPARKS 6529","President and Vice President of the United States","Trump, Donald J. and Vance, JD","0"
"Washoe","SPARKS 6530","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","*"
"Washoe","SPARKS 6530","President and Vice President of the United States","None Of These Candidates","*"
"Washoe","SPARKS 6530","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","*"
"Washoe","SPARKS 6530","President and Vice President of the United States","Skousen, Joel and Combs, Rik","*"
"Washoe","SPARKS 6530","President and Vice President of the United States","Trump, Donald J. and Vance, JD","*"
"Washoe","SPARKS 6531","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","*"
"Washoe","SPARKS 6531","President and Vice President of the United States","None Of These Candidates","*"
"Washoe","SPARKS 6531","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","*"
"Washoe","SPARKS 6531","President and Vice President of the United States","Skousen, Joel and Combs, Rik","*"
"Washoe","SPARKS 6531","President and Vice President of the United States","Trump, Donald J. and Vance, JD","*"
"Washoe","SPARKS 6532","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","*"
"Washoe","SPARKS 6532","President and Vice President of the United States","None Of These Candidates","*"
"Washoe","SPARKS 6532","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","*"
"Washoe","SPARKS 6532","President and Vice President of the United States","Skousen, Joel and Combs, Rik","*"
"Washoe","SPARKS 6532","President and Vice President of the United States","Trump, Donald J. and Vance, JD","*"
"Washoe","SPARKS 7301","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","70"
"Washoe","SPARKS 7301","President and Vice President of the United States","None Of These Candidates","5"
"Washoe","SPARKS 7301","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","1"
"Washoe","SPARKS 7301","President and Vice President of the United States","Skousen, Joel and Combs, Rik","1"
"Washoe","SPARKS 7301","President and Vice President of the United States","Trump, Donald J. and Vance, JD","100"
"Washoe","SPARKS 7304","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","535"
"Washoe","SPARKS 7304","President and Vice President of the United States","None Of These Candidates","19"
"Washoe","SPARKS 7304","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","7"
"Washoe","SPARKS 7304","President and Vice President of the United States","Skousen, Joel and Combs, Rik","4"
"Washoe","SPARKS 7304","President and Vice President of the United States","Trump, Donald J. and Vance, JD","389"
"Washoe","SPARKS 7305","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","0"
"Washoe","SPARKS 7305","President and Vice President of the United States","None Of These Candidates","0"
"Washoe","SPARKS 7305","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","0"
"Washoe","SPARKS 7305","President and Vice President of the United States","Skousen, Joel and Combs, Rik","0"
"Washoe","SPARKS 7305","President and Vice President of the United States","Trump, Donald J. and Vance, JD","0"
"Washoe","SPARKS 7308","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","41"
"Washoe","SPARKS 7308","President and Vice President of the United States","None Of These Candidates","0"
"Washoe","SPARKS 7308","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","2"
"Washoe","SPARKS 7308","President and Vice President of the United States","Skousen, Joel and Combs, Rik","0"
"Washoe","SPARKS 7308","President and Vice President of the United States","Trump, Donald J. and Vance, JD","72"
"Washoe","SPARKS 7309","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","4"
"Washoe","SPARKS 7309","President and Vice President of the United States","None Of These Candidates","0"
"Washoe","SPARKS 7309","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","0"
"Washoe","SPARKS 7309","President and Vice President of the United States","Skousen, Joel and Combs, Rik","0"
"Washoe","SPARKS 7309","President and Vice President of the United States","Trump, Donald J. and Vance, JD","10"
"Washoe","SPARKS 7310","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","768"
"Washoe","SPARKS 7310","President and Vice President of the United States","None Of These Candidates","27"
"Washoe","SPARKS 7310","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","11"
"Washoe","SPARKS 7310","President and Vice President of the United States","Skousen, Joel and Combs, Rik","4"
"Washoe","SPARKS 7310","President and Vice President of the United States","Trump, Donald J. and Vance, JD","731"
"Washoe","SPARKS 7311","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","*"
"Washoe","SPARKS 7311","President and Vice President of the United States","None Of These Candidates","*"
"Washoe","SPARKS 7311","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","*"
"Washoe","SPARKS 7311","President and Vice President of the United States","Skousen, Joel and Combs, Rik","*"
"Washoe","SPARKS 7311","President and Vice President of the United States","Trump, Donald J. and Vance, JD","*"
"Washoe","SPARKS 7313","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","385"
"Washoe","SPARKS 7313","President and Vice President of the United States","None Of These Candidates","8"
"Washoe","SPARKS 7313","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","2"
"Washoe","SPARKS 7313","President and Vice President of the United States","Skousen, Joel and Combs, Rik","1"
"Washoe","SPARKS 7313","President and Vice President of the United States","Trump, Donald J. and Vance, JD","374"
"Washoe","SPARKS 7315","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","*"
"Washoe","SPARKS 7315","President and Vice President of the United States","None Of These Candidates","*"
"Washoe","SPARKS 7315","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","*"
"Washoe","SPARKS 7315","President and Vice President of the United States","Skousen, Joel and Combs, Rik","*"
"Washoe","SPARKS 7315","President and Vice President of the United States","Trump, Donald J. and Vance, JD","*"
"Washoe","SPARKS 7316","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","1007"
"Washoe","SPARKS 7316","President and Vice President of the United States","None Of These Candidates","26"
"Washoe","SPARKS 7316","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","7"
"Washoe","SPARKS 7316","President and Vice President of the United States","Skousen, Joel and Combs, Rik","6"
"Washoe","SPARKS 7316","President and Vice President of the United States","Trump, Donald J. and Vance, JD","878"
"Washoe","SPARKS 7322","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","10"
"Washoe","SPARKS 7322","President and Vice President of the United States","None Of These Candidates","0"
"Washoe","SPARKS 7322","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","0"
"Washoe","SPARKS 7322","President and Vice President of the United States","Skousen, Joel and Combs, Rik","0"
"Washoe","SPARKS 7322","President and Vice President of the United States","Trump, Donald J. and Vance, JD","11"
"Washoe","SPARKS 7323","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","0"
"Washoe","SPARKS 7323","President and Vice President of the United States","None Of These Candidates","0"
"Washoe","SPARKS 7323","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","0"
"Washoe","SPARKS 7323","President and Vice President of the United States","Skousen, Joel and Combs, Rik","0"
"Washoe","SPARKS 7323","President and Vice President of the United States","Trump, Donald J. and Vance, JD","0"
"Washoe","SPARKS 7401","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","105"
"Washoe","SPARKS 7401","President and Vice President of the United States","None Of These Candidates","1"
"Washoe","SPARKS 7401","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","0"
"Washoe","SPARKS 7401","President and Vice President of the United States","Skousen, Joel and Combs, Rik","0"
"Washoe","SPARKS 7401","President and Vice President of the United States","Trump, Donald J. and Vance, JD","160"
"Washoe","SPARKS 7402","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","414"
"Washoe","SPARKS 7402","President and Vice President of the United States","None Of These Candidates","19"
"Washoe","SPARKS 7402","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","10"
"Washoe","SPARKS 7402","President and Vice President of the United States","Skousen, Joel and Combs, Rik","1"
"Washoe","SPARKS 7402","President and Vice President of the United States","Trump, Donald J. and Vance, JD","505"
"Washoe","SPARKS 7403","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","*"
"Washoe","SPARKS 7403","President and Vice President of the United States","None Of These Candidates","*"
"Washoe","SPARKS 7403","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","*"
"Washoe","SPARKS 7403","President and Vice President of the United States","Skousen, Joel and Combs, Rik","*"
"Washoe","SPARKS 7403","President and Vice President of the United States","Trump, Donald J. and Vance, JD","*"
"Washoe","SPARKS 7404","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","10"
"Washoe","SPARKS 7404","President and Vice President of the United States","None Of These Candidates","2"
"Washoe","SPARKS 7404","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","0"
"Washoe","SPARKS 7404","President and Vice President of the United States","Skousen, Joel and Combs, Rik","0"
"Washoe","SPARKS 7404","President and Vice President of the United States","Trump, Donald J. and Vance, JD","34"
"Washoe","SPARKS 7406","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","*"
"Washoe","SPARKS 7406","President and Vice President of the United States","None Of These Candidates","*"
"Washoe","SPARKS 7406","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","*"
"Washoe","SPARKS 7406","President and Vice President of the United States","Skousen, Joel and Combs, Rik","*"
"Washoe","SPARKS 7406","President and Vice President of the United States","Trump, Donald J. and Vance, JD","*"
"Washoe","SPARKS 7407","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","817"
"Washoe","SPARKS 7407","President and Vice President of the United States","None Of These Candidates","44"
"Washoe","SPARKS 7407","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","8"
"Washoe","SPARKS 7407","President and Vice President of the United States","Skousen, Joel and Combs, Rik","5"
"Washoe","SPARKS 7407","President and Vice President of the United States","Trump, Donald J. and Vance, JD","2234"
"Washoe","SPARKS 7408","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","198"
"Washoe","SPARKS 7408","President and Vice President of the United States","None Of These Candidates","8"
"Washoe","SPARKS 7408","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","2"
"Washoe","SPARKS 7408","President and Vice President of the United States","Skousen, Joel and Combs, Rik","2"
"Washoe","SPARKS 7408","President and Vice President of the United States","Trump, Donald J. and Vance, JD","581"
"Washoe","SPARKS 7410","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","804"
"Washoe","SPARKS 7410","President and Vice President of the United States","None Of These Candidates","34"
"Washoe","SPARKS 7410","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","13"
"Washoe","SPARKS 7410","President and Vice President of the United States","Skousen, Joel and Combs, Rik","8"
"Washoe","SPARKS 7410","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1452"
"Washoe","SPARKS 7413","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","*"
"Washoe","SPARKS 7413","President and Vice President of the United States","None Of These Candidates","*"
"Washoe","SPARKS 7413","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","*"
"Washoe","SPARKS 7413","President and Vice President of the United States","Skousen, Joel and Combs, Rik","*"
"Washoe","SPARKS 7413","President and Vice President of the United States","Trump, Donald J. and Vance, JD","*"
"Washoe","SPARKS 7415","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","871"
"Washoe","SPARKS 7415","President and Vice President of the United States","None Of These Candidates","40"
"Washoe","SPARKS 7415","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","13"
"Washoe","SPARKS 7415","President and Vice President of the United States","Skousen, Joel and Combs, Rik","6"
"Washoe","SPARKS 7415","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1906"
"Washoe","SPARKS 7416","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","430"
"Washoe","SPARKS 7416","President and Vice President of the United States","None Of These Candidates","22"
"Washoe","SPARKS 7416","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","1"
"Washoe","SPARKS 7416","President and Vice President of the United States","Skousen, Joel and Combs, Rik","3"
"Washoe","SPARKS 7416","President and Vice President of the United States","Trump, Donald J. and Vance, JD","906"
"Washoe","SPARKS 7417","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","754"
"Washoe","SPARKS 7417","President and Vice President of the United States","None Of These Candidates","36"
"Washoe","SPARKS 7417","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","9"
"Washoe","SPARKS 7417","President and Vice President of the United States","Skousen, Joel and Combs, Rik","1"
"Washoe","SPARKS 7417","President and Vice President of the United States","Trump, Donald J. and Vance, JD","1847"
"Washoe","SPARKS 7424","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","30"
"Washoe","SPARKS 7424","President and Vice President of the United States","None Of These Candidates","1"
"Washoe","SPARKS 7424","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","1"
"Washoe","SPARKS 7424","President and Vice President of the United States","Skousen, Joel and Combs, Rik","0"
"Washoe","SPARKS 7424","President and Vice President of the United States","Trump, Donald J. and Vance, JD","52"
"Washoe","SPARKS 7426","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","13"
"Washoe","SPARKS 7426","President and Vice President of the United States","None Of These Candidates","2"
"Washoe","SPARKS 7426","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","0"
"Washoe","SPARKS 7426","President and Vice President of the United States","Skousen, Joel and Combs, Rik","0"
"Washoe","SPARKS 7426","President and Vice President of the United States","Trump, Donald J. and Vance, JD","14"
"Washoe","SPARKS 7428","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","*"
"Washoe","SPARKS 7428","President and Vice President of the United States","None Of These Candidates","*"
"Washoe","SPARKS 7428","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","*"
"Washoe","SPARKS 7428","President and Vice President of the United States","Skousen, Joel and Combs, Rik","*"
"Washoe","SPARKS 7428","President and Vice President of the United States","Trump, Donald J. and Vance, JD","*"
"Washoe","SPARKS 7431","President and Vice President of the United States","Harris, Kamala D. and Walz, Tim","18"
"Washoe","SPARKS 7431","President and Vice President of the United States","None Of These Candidates","2"
"Washoe","SPARKS 7431","President and Vice President of the United States","Oliver, Chase and ter Maat, Michael","0"
"Washoe","SPARKS 7431","President and Vice President of the United States","Skousen, Joel and Combs, Rik","0"
"Washoe","SPARKS 7431","President and Vice President of the United States","Trump, Donald J. and Vance, JD","65"
